# group	path	line	expect	note
# Location log for the repo-wide divergence audit. Verified by verify_locations.py.
L1-def	engine/autoload/dice_engine.py	94	def degree_from_net	CANON: 2*ob and >=3; Ob>=20 branch
L1-def	engine/autoload/dice_engine.py	24	class Degree	enum VALUES are lowercase
L1-def	engine/autoload/sigma_leverage.py	284	def degree	int 0-3, pool-aware sigma bar
L1-def	systems/combat/combat_engine_v1/core.py	57	def degree	lowercase, uniquely 'fail' not 'failure'
L1-def	systems/combat/sim/combat.py	161	def _degree	no ob param; opposed margin
L1-def	systems/mass_battle/sim/massbattle.py	640	def compute_degree	NO epsilon; outputs dead
L1-def	systems/factions/sim/faction_action.py	97	def _degree	ob PRE-SUBTRACTED
L1-def	systems/threadwork/sim/operations.py	134	def _compute_degree	ADDITIVE ob+3 bar
L1-def	systems/threadwork/sim/opposing.py	87	def _degree_label	3 bands only; 'Meets'
L1-def	systems/mass_battle/sim/massbattle.py	1838		inline size-% degree
L1-def	tests/sim/mass_battle/resolution.py	89	def compute_degree	J2 CANON; _DEGREE_EPS guarded
L1-def	tests/sim/mass_battle/resolution.py	86	_DEGREE_EPS	1e-9 ulp-recovery, ED-MB-0051
L1-def	systems/factions/sim/mass_seizure.py	264		inline additive ob+3
L1-def	systems/threadwork/sim/collective.py	166		inline additive ob+3
L1-def	systems/fieldwork/sim/knots.py	226		inline additive ob+3 -> TIER vocab
L1-def	engine/cross_scale/echo_transport.py	187	_derive_degree	contest dict -> Capitalised
L1-def	engine/cross_scale/parliamentary_bridge.py	100		vote band -> Capitalised degree
L1-def	engine/cross_scale/scene_dispatch.py	260		combat int -1/0/1 -> Capitalised
L1-def	engine/cross_scale/scene_dispatch.py	334		council verdict -> Capitalised
L1-def	skills/valoria-dice-model/valoria_dice.py	45	def classify_outcome	FORK: no >=3 floor; Ob-10 not Ob-20
L1-consumer	engine/cross_scale/domain_echo.py	89		FAILS-SILENT unknown degree -> fires=False
L1-consumer	engine/cross_scale/domain_echo.py	30	ECHO_AMOUNT_BY_DEGREE	dict keyed Capitalised
L1-consumer	engine/cross_scale/echo_transport.py	425		FAILS-SILENT .get(degree,'compromise'); [scene_type] raises
L1-consumer	engine/cross_scale/zoom_in_out.py	87		FAILS-SILENT .get(degree,0) inside valid=True
L1-consumer	engine/cross_scale/parliamentary_bridge.py	206		FAILS-SILENT in (Overwhelming,Success)
L1-consumer	systems/combat/combat_engine_v1/wrapper.py	329	else	UNKNOWN LABEL PROMOTED to overwhelming arm
L1-consumer	systems/combat/combat_engine_v1/core.py	498		gate: deg not in (graze,success,overwhelming) -> 0
L1-consumer	systems/factions/sim/faction_action.py	480		deg=='Success' -> Terms else Storm
L1-consumer	systems/mass_battle/sim/massbattle.py	951	a_deg	DEAD assignment, never read
L1-consumer	systems/mass_battle/sim/massbattle.py	1517	a_deg	DEAD assignment, never read
L1-consumer	systems/mass_battle/sim/massbattle.py	646	DAMAGE_BY_DEGREE	zero readers in file
L1-consumer	tests/sim/mass_battle/orchestration.py	1356	DAMAGE_BY_DEGREE	LIVE: dict index, FAILS-LOUD
L8-silent	engine/cross_scale/echo_transport.py	434		#1 typo'd stat/faction: Key logs delta never applied
L8-silent	engine/cross_scale/scene_dispatch.py	372	except Exception	#2 kernel ValueError -> reason string driver never reads
L8-silent	engine/cross_scale/domain_echo.py	179		#3 sibling: unmapped -> fires=False
L8-silent	engine/cross_scale/domain_echo.py	203		#3 sibling: unmapped -> fires=False
L8-silent	engine/cross_scale/echo_transport.py	320		#4 zero-as-falsy vs zero-as-sentinel; under-declares write
L8-silent	engine/cross_scale/domain_echo.py	154		#4 other half: accord_delta=0 IS the sentinel
L8-silent	systems/social_contest/sim/parliamentary_vote.py	137		#5 typo'd faction -> silent abstention
L8-silent	systems/fieldwork/sim/knots.py	295		#6 unknown trigger -> no rupture, silent
L8-silent	systems/fieldwork/sim/knots.py	283		#6 unknown knot_id -> no note at all
L8-silent	engine/cross_scale/echo_transport.py	386		#8 malformed echo block == no echo
L8-silent	systems/fieldwork/sim/knots.py	172		#10 form_knot: 7 causes collapse to None
L8-swallow	systems/fieldwork/sim/knots.py	353	except (ImportError, AttributeError)	conviction scar; ImportError leg DEAD
L8-swallow	systems/fieldwork/sim/knots.py	361	consequences['coherence_delta']	dict claims effect BEFORE the try
L8-swallow	systems/fieldwork/sim/knots.py	366	except (ImportError, AttributeError)	coherence delta; ImportError leg DEAD
L8-swallow	systems/threadwork/sim/opposing.py	248	except (ImportError, AttributeError)	knot strain; skips its own note
